time,open,high,low,close,volume
1746057600000,94125.2,94299.3,94086.7,94223.6,851.111
1746058500000,94223.7,94281.9,94127.0,94238.7,449.038
1746059400000,94238.6,94250.0,94165.3,94239.3,343.552
1746060300000,94239.3,94358.9,94239.2,94358.9,764.486
1746061200000,94358.9,94554.9,94343.4,94485.5,1246.311
1746062100000,94485.5,94653.3,94463.1,94586.9,1203.363
1746063000000,94586.9,94662.6,94436.1,94660.0,1408.424
1746063900000,94660.0,94660.0,94522.4,94598.7,669.258
1746064800000,94598.8,94798.5,94563.0,94657.7,1560.843
1746065700000,94657.7,94915.1,94657.7,94889.8,2920.224
1746066600000,94889.8,94939.4,94783.1,94860.0,1364.838
1746067500000,94860.0,94882.5,94711.1,94799.9,1103.3
1746068400000,94799.9,94978.1,94638.7,94664.1,2726.024
1746069300000,94664.1,94777.8,94631.0,94771.7,786.867
1746070200000,94771.6,94889.6,94672.6,94792.8,1344.489
1746071100000,94792.8,94792.9,94664.3,94737.5,621.063
1746072000000,94737.6,94845.9,94702.6,94779.1,570.395
1746072900000,94779.1,94801.9,94684.5,94685.9,584.765
1746073800000,94685.8,94775.8,94660.2,94775.7,698.677
1746074700000,94775.7,94883.4,94766.3,94825.2,662.544
1746075600000,94825.2,94928.4,94786.8,94928.3,815.404
1746076500000,94928.4,94943.1,94822.5,94866.8,481.718
1746077400000,94866.8,95118.2,94810.0,95071.2,3198.635
1746078300000,95071.2,95140.0,95009.4,95104.1,1741.983
1746079200000,95104.1,95146.2,94990.1,95034.8,1217.837
1746080100000,95034.9,95070.0,94950.0,94965.9,873.057
1746081000000,94965.9,94989.0,94793.4,94835.1,1586.947
1746081900000,94835.1,94874.9,94759.2,94849.4,777.2
1746082800000,94849.4,94944.0,94754.4,94944.0,961.626
1746083700000,94944.0,94980.0,94889.1,94940.5,666.153
1746084600000,94940.3,95007.2,94930.6,94987.9,511.037
1746085500000,94988.0,95063.9,94959.2,94978.6,994.83
1746086400000,94978.6,95041.1,94866.6,94972.2,790.26
1746087300000,94972.2,95115.5,94972.2,95107.3,1228.601
1746088200000,95107.2,95119.9,95024.1,95050.0,524.533
1746089100000,95050.0,95174.9,95050.0,95163.0,782.16
1746090000000,95163.0,95180.9,95090.2,95133.8,718.415
1746090900000,95133.8,95301.5,95133.8,95299.9,2298.02
1746091800000,95300.0,95466.0,95259.8,95386.1,3266.384
1746092700000,95386.0,95789.0,95386.0,95478.3,6327.215
1746093600000,95478.2,95710.0,95478.2,95690.5,2085.649
1746094500000,95690.6,96351.8,95690.5,96281.9,11265.979
1746095400000,96281.9,96346.9,96004.7,96092.8,3151.89
1746096300000,96092.8,96139.5,95852.0,96118.0,2615.505
1746097200000,96118.0,96209.2,96012.0,96112.0,2208.017
1746098100000,96112.0,96135.8,95770.0,95882.5,2165.781
1746099000000,95882.5,96108.6,95870.3,96066.7,1146.796
1746099900000,96066.7,96190.1,96066.6,96129.9,1186.888
1746100800000,96130.0,96274.0,96067.5,96202.2,1573.37
1746101700000,96202.2,96343.0,96094.0,96142.5,2026.644
1746102600000,96142.5,96414.8,96051.3,96373.0,2352.976
1746103500000,96373.0,96385.1,96190.9,96321.1,1054.961
1746104400000,96321.1,96450.0,96244.0,96448.0,1307.851
1746105300000,96448.0,96712.0,96395.0,96586.4,4518.667
